Designator,Mid X,Mid Y,Layer,Rot
C1,155.5,-67,bottom,0
C2,207,-68,bottom,180
C3,177.15,-76.475,bottom,180
C4,171.05,-70.5,bottom,0
C5,170.95,-68,bottom,180
C6,163,-73.55,bottom,-90
C7,191,-65,bottom,90
C8,202.5,-64.5,bottom,90
C9,211.5,-64.45,bottom,90
Q1,154.5,-61.5,bottom,180
Q2,179.65,-79.475,bottom,-90
Q3,167.55,-78.5625,bottom,90
R1,152.5,-78,bottom,180
R2,152.5,-81.95,bottom,180
R3,152.5,-86,bottom,180
R4,76.5,-79,bottom,0
R5,76.5,-81.5,bottom,0
R6,155.5,-64.5,bottom,0
R7,179.65,-83.0375,bottom,0
R8,167.5,-82.625,bottom,0
R9,176.65,-79.4125,bottom,-90
R10,173,-78,bottom,90
R11,197,-89.5,bottom,-90
R12,202,-89.5,bottom,-90
U1,144.325,-70.15,bottom,90
U2,158.875151,-73.9395,bottom,180
U3,180.45,-74.525,bottom,180
Y1,170.9,-74,bottom,180
