Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
"C1, C2, C3, C7, C8, C9",0805,6,100n,
"C4, C5",0805,2,470n,
C6,0805,1,10u,
DS1,WC1602A,1,WC1602A,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"J2, J3, J4, J5",SMA_Amphenol_132289_EdgeMount,4,Conn_Coaxial_Small,
"J6, J7",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15,
Q1,SOT-23,1,SS8050,
"Q2, Q3",SOT-23,2,BSS138,
"R1, R10, R11, R12, R2, R3, R7, R8, R9",0805,9,10K,
"R4, R5, R6",0805,3,4.7K,
RV1,Potentiometer_Runtron_RM-065_Vertical,1,R_Potentiometer,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch_MP,
U1,SOIC-16W_7.5x10.3mm_P1.27mm,1,PCF8574AT,
U2,SOT-23-5_RIT,1,RT9193-33GB,
U3,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,~,
Y1,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,
