Designator,Mid X,Mid Y,Rotation,Layer
A1,91.38,-78.9225,180.0,top
C1,155.5,-67.0,180.0,bottom
C10,94.55,-75.5,0.0,bottom
C11,94.0,-64.5,90.0,bottom
C2,207.0,-68.0,0.0,bottom
C3,177.15,-76.475,0.0,bottom
C4,171.05,-70.5,180.0,bottom
C5,170.95,-68.0,0.0,bottom
C6,163.0,-73.55,270.0,bottom
C7,191.0,-65.0,90.0,bottom
C8,202.5,-65.0,90.0,bottom
C9,211.5,-65.0,90.0,bottom
DS1,144.50045,-76.64285,0.0,top
J1,74.0,-71.0,0.0,top
J2,216.1375,-68.5,180.0,bottom
J3,190.5,-59.8625,90.0,bottom
J4,202.0,-59.8625,90.0,bottom
J5,213.5,-59.8625,90.0,bottom
J6,102.338823,-78.963235,180.0,top
J7,80.0,-78.8625,180.0,top
JP1,149.0,-78.725,90.0,bottom
JP2,147.5,-82.725,90.0,bottom
JP3,146.0,-86.725,90.0,bottom
JP4,76.35,-89.0,180.0,top
JP5,73.0,-80.5,270.0,top
JP6,151.65,-64.5,0.0,bottom
JP7,177.15,-73.975,0.0,bottom
JP8,211.0,-68.0,0.0,bottom
JP9,90.775,-75.5,0.0,bottom
Q1,154.5,-61.5,180.0,bottom
Q2,179.65,-79.475,90.0,bottom
Q3,167.55,-78.5625,270.0,bottom
R1,152.5,-78.0,0.0,bottom
R10,173.0,-78.0,90.0,bottom
R11,197.0,-89.5,270.0,bottom
R12,202.0,-89.5,270.0,bottom
R2,152.5,-81.95,0.0,bottom
R3,152.5,-86.0,0.0,bottom
R4,76.5,-79.0,180.0,bottom
R5,76.5,-81.5,180.0,bottom
R6,155.5,-64.5,180.0,bottom
R7,179.65,-83.0375,180.0,bottom
R8,167.5,-82.625,180.0,bottom
R9,176.65,-79.4125,270.0,bottom
RV1,188.5,-71.26,0.0,top
SW1,199.5,-77.3925,90.0,top
U1,144.325,-70.15,0.0,bottom
U2,158.875151,-73.9395,180.0,bottom
U3,180.45,-74.525,0.0,bottom
U4,91.0,-70.0,180.0,bottom
Y1,170.9,-74.0,270.0,bottom
